PLAYER NAME,TEAM,SOS SEASON,SOS PLAYOFFS,PROJ. FPTS,ECR VS. ADP
Donald Parham Jr.,LAC,2 out of 5 stars,2 out of 5 stars,45.1,-
Kylen Granson,IND,3 out of 5 stars,2 out of 5 stars,42,-
Adam Trautman,DEN,3 out of 5 stars,3 out of 5 stars,35,-
Noah Gray,KC,4 out of 5 stars,4 out of 5 stars,34,+2
Durham Smythe,MIA,3 out of 5 stars,2 out of 5 stars,33,+16
Colby Parkinson,SEA,3 out of 5 stars,4 out of 5 stars,33,-
Isaiah Likely,BAL,4 out of 5 stars,3 out of 5 stars,31,-7
Robert Tonyan,CHI,3 out of 5 stars,2 out of 5 stars,31,+21
Will Dissly,SEA,3 out of 5 stars,4 out of 5 stars,30.8,-
Austin Hooper,LV,2 out of 5 stars,2 out of 5 stars,30,-
Jeremy Ruckert,NYJ,4 out of 5 stars,4 out of 5 stars,29.7,-
Greg Dulcich,DEN,3 out of 5 stars,3 out of 5 stars,29,-25
Cole Turner,WAS,4 out of 5 stars,3 out of 5 stars,28.6,-
Tucker Kraft,GB,3 out of 5 stars,2 out of 5 stars,28.6,0
Jelani Woods,IND,3 out of 5 stars,2 out of 5 stars,28,+6
Foster Moreau,NO,3 out of 5 stars,3 out of 5 stars,28,-
Darnell Washington,PIT,3 out of 5 stars,3 out of 5 stars,27.5,-17
Luke Schoonmaker,DAL,5 out of 5 stars,3 out of 5 stars,27.5,-15
Daniel Bellinger,NYG,5 out of 5 stars,5 out of 5 stars,27,-1
Jordan Akins,CLE,3 out of 5 stars,4 out of 5 stars,26.4,-
Tommy Tremble,CAR,3 out of 5 stars,3 out of 5 stars,26.4,-
Josh Oliver,MIN,3 out of 5 stars,3 out of 5 stars,26,+8
Brenton Strange,JAC,2 out of 5 stars,2 out of 5 stars,25.3,-
Harrison Bryant,CLE,3 out of 5 stars,4 out of 5 stars,25.3,-
Julian Hill,MIA,3 out of 5 stars,2 out of 5 stars,25.3,-
Jimmy Graham,NO,3 out of 5 stars,3 out of 5 stars,24,-23
Mo Alie-Cox,IND,3 out of 5 stars,2 out of 5 stars,24,-
C.J. Uzomah,NYJ,4 out of 5 stars,4 out of 5 stars,23.1,-12
Brevin Jordan,HOU,2 out of 5 stars,3 out of 5 stars,23.1,-
Connor Heyward,PIT,3 out of 5 stars,3 out of 5 stars,22,-20
Josiah Deguara,GB,3 out of 5 stars,2 out of 5 stars,20.9,-
Peyton Hendershot,DAL,5 out of 5 stars,3 out of 5 stars,20.9,-7
John Bates,WAS,4 out of 5 stars,3 out of 5 stars,20,-
Ian Thomas,CAR,3 out of 5 stars,3 out of 5 stars,19.8,-
Giovanni Ricci,CAR,3 out of 5 stars,3 out of 5 stars,19.8,-
Quintin Morris,BUF,3 out of 5 stars,4 out of 5 stars,18.7,-
Teagan Quitoriano,HOU,2 out of 5 stars,3 out of 5 stars,18.7,-
Josh Whyle,TEN,3 out of 5 stars,4 out of 5 stars,18.7,-
Pharaoh Brown,NE,3 out of 5 stars,2 out of 5 stars,18,-
Brock Wright,DET,3 out of 5 stars,3 out of 5 stars,18,-4
Jack Stoll,PHI,3 out of 5 stars,3 out of 5 stars,18,-8
Will Mallory,IND,3 out of 5 stars,2 out of 5 stars,17.6,-
Payne Durham,TB,3 out of 5 stars,3 out of 5 stars,17.6,-
Trevon Wesco,TEN,3 out of 5 stars,4 out of 5 stars,17.6,-
Brycen Hopkins,LAR,3 out of 5 stars,4 out of 5 stars,17,-
Ko Kieft,TB,3 out of 5 stars,3 out of 5 stars,16.5,-
Nate Adkins,DEN,3 out of 5 stars,3 out of 5 stars,16.5,-
Hunter Long,LAR,3 out of 5 stars,4 out of 5 stars,16.5,-
Grant Calcaterra,PHI,3 out of 5 stars,3 out of 5 stars,16.5,-
Albert Okwuegbunam,PHI,3 out of 5 stars,3 out of 5 stars,16,-23
Tre' McKitty,LAC,2 out of 5 stars,2 out of 5 stars,15.4,-
Elijah Higgins,ARI,4 out of 5 stars,4 out of 5 stars,15.4,-
MyCole Pruitt,ATL,2 out of 5 stars,3 out of 5 stars,15,-
Andrew Ogletree,IND,3 out of 5 stars,2 out of 5 stars,14.3,-
David Wells,TB,3 out of 5 stars,3 out of 5 stars,14.3,-
Jesper Horsted,LV,2 out of 5 stars,2 out of 5 stars,14.3,-
Tanner Hudson,CIN,2 out of 5 stars,2 out of 5 stars,14.3,-
Marcedes Lewis,CHI,3 out of 5 stars,2 out of 5 stars,14,-
Jody Fortson,KC,4 out of 5 stars,4 out of 5 stars,14,-
James Mitchell,DET,3 out of 5 stars,3 out of 5 stars,13.2,-
Tyler Kroft,MIA,3 out of 5 stars,2 out of 5 stars,13.2,-
Drew Sample,CIN,2 out of 5 stars,2 out of 5 stars,13.2,-29
Charlie Kolar,BAL,4 out of 5 stars,3 out of 5 stars,13.2,-
Davis Allen,LAR,3 out of 5 stars,4 out of 5 stars,13.2,-
Johnny Mundt,MIN,3 out of 5 stars,3 out of 5 stars,13,-
Shane Zylstra,DET,3 out of 5 stars,3 out of 5 stars,12.1,-
Andrew Beck,HOU,2 out of 5 stars,3 out of 5 stars,12.1,-
Armani Rogers,WAS,4 out of 5 stars,3 out of 5 stars,12.1,-56
Ross Dwelley,SF,3 out of 5 stars,3 out of 5 stars,12,-
Chris Manhertz,DEN,3 out of 5 stars,3 out of 5 stars,11,-
Tommy Sweeney,NYG,5 out of 5 stars,5 out of 5 stars,11,-
Stephen Sullivan,CAR,3 out of 5 stars,3 out of 5 stars,11,-
Kenny Yeboah,NYJ,4 out of 5 stars,4 out of 5 stars,11,-
Geoff Swaim,ARI,4 out of 5 stars,4 out of 5 stars,10,-
Luke Farrell,JAC,2 out of 5 stars,2 out of 5 stars,10,-
