Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit
Emari Demercado,RB,ARI,DAL,10,1.3,0.13,2 out of 5 stars,F
Dallas Cowboys,DEF,DAL,ARI,21,10,0.4762,3 out of 5 stars,A+
Arizona Cardinals,DEF,ARI,DAL,16,4.8,0.3,1 out of 5 stars,F
Hunter Luepke,RB,DAL,ARI,10,0.3,0.03,4 out of 5 stars,F
Geoff Swaim,TE,ARI,DAL,10,0.6,0.06,1 out of 5 stars,F
Joshua Dobbs,QB,ARI,DAL,20,12.7,0.635,1 out of 5 stars,F
Elijah Higgins,TE,ARI,DAL,10,0.2,0.02,1 out of 5 stars,F
Allen Robinson II,WR,PIT,LV,12,7.2,0.6,4 out of 5 stars,D
Miles Boykin,WR,PIT,LV,10,0.6,0.06,4 out of 5 stars,F
Najee Harris,RB,PIT,LV,20,11.3,0.565,4 out of 5 stars,B-
Pat Freiermuth,TE,PIT,LV,15,7.9,0.5267,4 out of 5 stars,C+
Kenny Pickett,QB,PIT,LV,23,14.6,0.6348,5 out of 5 stars,D-
George Pickens,WR,PIT,LV,17,11.9,0.7,4 out of 5 stars,B+
Calvin Austin III,WR,PIT,LV,12,5.6,0.4667,4 out of 5 stars,F
Connor Heyward,TE,PIT,LV,10,1.4,0.14,4 out of 5 stars,F
Jaylen Warren,RB,PIT,LV,13,8.6,0.6615,4 out of 5 stars,C
Brandon Bolden,RB,LV,PIT,10,0.6,0.06,3 out of 5 stars,F
Davante Adams,WR,LV,PIT,34,14.6,0.4294,3 out of 5 stars,A
Jimmy Garoppolo,QB,LV,PIT,20,14.1,0.705,4 out of 5 stars,F
Ameer Abdullah,RB,LV,PIT,10,2.1,0.21,3 out of 5 stars,F
DeAndre Carter,WR,LV,PIT,10,1.8,0.18,3 out of 5 stars,F
Austin Hooper,TE,LV,PIT,10,3.3,0.33,3 out of 5 stars,F
Jakob Johnson,RB,LV,PIT,10,0.5,0.05,3 out of 5 stars,F
Josh Jacobs,RB,LV,PIT,23,14.4,0.6261,3 out of 5 stars,A
Hunter Renfrow,WR,LV,PIT,10,4.4,0.44,3 out of 5 stars,F
Jakobi Meyers,WR,LV,PIT,20,7.8,0.39,3 out of 5 stars,C
Jesper Horsted,TE,LV,PIT,10,0.3,0.03,3 out of 5 stars,F
Zamir White,RB,LV,PIT,10,3.7,0.37,3 out of 5 stars,F
Tre Tucker,WR,LV,PIT,10,0.9,0.09,3 out of 5 stars,F
Pittsburgh Steelers,DEF,PIT,LV,11,7.3,0.6636,3 out of 5 stars,C+
Las Vegas Raiders,DEF,LV,PIT,12,5.9,0.4917,4 out of 5 stars,D-
Darnell Washington,TE,PIT,LV,10,1.3,0.13,4 out of 5 stars,F
Kristian Wilkerson,WR,LV,PIT,10,1.4,0.14,3 out of 5 stars,F
Michael Mayer,TE,LV,PIT,10,2.5,0.25,3 out of 5 stars,F
Dez Fitzpatrick,WR,PIT,LV,10,0.2,0.02,4 out of 5 stars,F
Rashaad Penny,RB,PHI,TB,12,3.4,0.2833,3 out of 5 stars,F
Dallas Goedert,TE,PHI,TB,16,8.2,0.5125,3 out of 5 stars,B
Boston Scott,RB,PHI,TB,11,3.5,0.3182,3 out of 5 stars,F
Olamide Zaccheaus,WR,PHI,TB,10,1.6,0.16,3 out of 5 stars,F
Jalen Hurts,QB,PHI,TB,42,22.8,0.5429,4 out of 5 stars,A
Quez Watkins,WR,PHI,TB,10,3.7,0.37,3 out of 5 stars,F
DeVonta Smith,WR,PHI,TB,26,13.9,0.5346,3 out of 5 stars,A
Kenneth Gainwell,RB,PHI,TB,19,5,0.2632,3 out of 5 stars,D
Jack Stoll,TE,PHI,TB,10,0.5,0.05,3 out of 5 stars,F
Grant Calcaterra,TE,PHI,TB,10,0.7,0.07,3 out of 5 stars,F
Mike Evans,WR,TB,PHI,31,12.1,0.3903,2 out of 5 stars,A-
Chris Godwin,WR,TB,PHI,18,11.2,0.6222,2 out of 5 stars,B+
Baker Mayfield,QB,TB,PHI,20,14.9,0.745,2 out of 5 stars,D
David Wells,TE,TB,PHI,10,0.9,0.09,2 out of 5 stars,F
Rachaad White,RB,TB,PHI,16,11.3,0.7062,4 out of 5 stars,B
Cade Otton,TE,TB,PHI,10,5.7,0.57,2 out of 5 stars,F
Ko Kieft,TE,TB,PHI,10,1.3,0.13,2 out of 5 stars,F
Deven Thompkins,WR,TB,PHI,10,2.1,0.21,2 out of 5 stars,F
Philadelphia Eagles,DEF,PHI,TB,17,8.2,0.4824,1 out of 5 stars,B+
Tampa Bay Buccaneers,DEF,TB,PHI,15,5.3,0.3533,2 out of 5 stars,F
Rakim Jarrett,WR,TB,PHI,10,0.8,0.08,2 out of 5 stars,F
Sean Tucker,RB,TB,PHI,13,4.7,0.3615,4 out of 5 stars,F
Payne Durham,TE,TB,PHI,10,0.7,0.07,2 out of 5 stars,F
Trey Palmer,WR,TB,PHI,12,4,0.3333,2 out of 5 stars,F
Albert Okwuegbunam,TE,PHI,TB,10,0.6,0.06,3 out of 5 stars,F
Tyler Boyd,WR,CIN,LA,13,7.3,0.5615,3 out of 5 stars,D
Joe Mixon,RB,CIN,LA,19,14.2,0.7474,3 out of 5 stars,A
Drew Sample,TE,CIN,LA,10,1,0.1,4 out of 5 stars,F
Trayveon Williams,RB,CIN,LA,10,3.6,0.36,3 out of 5 stars,F
Jake Browning,QB,CIN,LA,20,4.5,0.225,3 out of 5 stars,F
Trenton Irwin,WR,CIN,LA,10,1.1,0.11,3 out of 5 stars,F
Joe Burrow,QB,CIN,LA,28,16.1,0.575,3 out of 5 stars,C-
Tee Higgins,WR,CIN,LA,19,12,0.6316,3 out of 5 stars,A-
Chris Evans,RB,CIN,LA,10,0.8,0.08,3 out of 5 stars,F
Chase Brown,RB,CIN,LA,10,1.9,0.19,3 out of 5 stars,F
Los Angeles Rams,DEF,LA,CIN,13,6.6,0.5077,1 out of 5 stars,D
Cincinnati Bengals,DEF,CIN,LA,12,6.7,0.5583,2 out of 5 stars,C-
Charlie Jones,WR,CIN,LA,10,0.4,0.04,3 out of 5 stars,F
Andrei Iosivas,WR,CIN,LA,10,0.4,0.04,3 out of 5 stars,F
Matthew Stafford,QB,LA,CIN,35,15.2,0.4343,3 out of 5 stars,D+
Tyler Higbee,TE,LA,CIN,12,7,0.5833,2 out of 5 stars,C-
Cam Akers,RB,MIN,CIN,16,1.7,0.1062,4 out of 5 stars,F
Van Jefferson,WR,LA,CIN,12,6.8,0.5667,3 out of 5 stars,D
Brycen Hopkins,TE,LA,CIN,10,1.4,0.14,2 out of 5 stars,F
Tutu Atwell,WR,LA,CIN,15,9.4,0.6267,3 out of 5 stars,C+
Ben Skowronek,WR,LA,CIN,10,2.3,0.23,3 out of 5 stars,F
Kyren Williams,RB,LA,CIN,21,13.6,0.6476,2 out of 5 stars,A
Ronnie Rivers,RB,LA,CIN,10,2.6,0.26,2 out of 5 stars,F
Demarcus Robinson,WR,LA,CIN,10,0.4,0.04,3 out of 5 stars,F
Davis Allen,TE,LA,CIN,10,0.4,0.04,2 out of 5 stars,F
Puka Nacua,WR,LA,CIN,26,12.4,0.4769,3 out of 5 stars,A
Zach Evans,RB,LA,CIN,10,2.1,0.21,2 out of 5 stars,F
Mitchell Wilcox,TE,CIN,LA,10,0.5,0.05,4 out of 5 stars,F
Royce Freeman,RB,LA,CIN,10,0.3,0.03,2 out of 5 stars,F
Austin Trammell,WR,LA,CIN,10,0,0,3 out of 5 stars,F
