Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Travis Etienne Jr,RB,JAC,CHI,26,11.3,0.4346,4 out of 5 stars,B-,10,9.3,0.125
Tank Bigsby,RB,JAC,CHI,16,10.6,0.6625,4 out of 5 stars,C+,10,9.3,0.21666666666666648
Parker Washington,WR,JAC,CHI,10,0.8,0.08,1 out of 5 stars,F,10,9.3,0
Brian Thomas Jr,WR,JAC,CHI,29,10.7,0.369,1 out of 5 stars,B,10,9.3,0.07368421052631571
Keenan Allen,WR,CHI,JAC,20,8.6,0.43,5 out of 5 stars,C,10,9.3,-0.0700000000000001
DeAndre Carter,WR,CHI,JAC,10,0.8,0.08,5 out of 5 stars,F,10,9.3,0
DJ Moore,WR,CHI,JAC,28,12.6,0.45,5 out of 5 stars,A,10,9.3,0.18333333333333326
D Andre Swift,RB,CHI,JAC,25,13.5,0.54,4 out of 5 stars,B+,10,9.3,0.27999999999999997
Khalil Herbert,RB,CHI,JAC,10,2.1,0.21,4 out of 5 stars,F,10,9.3,0
Roschon Johnson,RB,CHI,JAC,16,8,0.5,4 out of 5 stars,C,10,9.3,-0.21666666666666679
Rome Odunze,WR,CHI,JAC,18,8.6,0.4778,5 out of 5 stars,C,10,9.3,-0.08750000000000013
Mike Evans,WR,TB,NO,29,12,0.4138,2 out of 5 stars,A-,10,9.3,0.1421052631578947
Chris Godwin,WR,TB,NO,29,12.6,0.4345,2 out of 5 stars,A,10,9.3,0.17368421052631575
Rachaad White,RB,TB,NO,20,10.4,0.52,3 out of 5 stars,C+,10,9.3,0.10999999999999996
Jalen McMillan,WR,TB,NO,10,2,0.2,2 out of 5 stars,F,10,9.3,0
Bucky Irving,RB,TB,NO,18,10.8,0.6,3 out of 5 stars,C+,10,9.3,0.1875
Kameron Johnson,WR,TB,NO,10,1.2,0.12,2 out of 5 stars,F,10,9.3,0
Alvin Kamara,RB,NO,TB,40,16.4,0.41,2 out of 5 stars,A,10,9.3,0.2366666666666666
Jamaal Williams,RB,NO,TB,10,4.1,0.41,2 out of 5 stars,F,10,9.3,0
Chris Olave,WR,NO,TB,26,11.3,0.4346,4 out of 5 stars,B+,10,9.3,0.125
Rashid Shaheed,WR,NO,TB,23,9.7,0.4217,4 out of 5 stars,B-,10,9.3,0.03076923076923066
Mason Tipton,WR,NO,TB,10,3.6,0.36,4 out of 5 stars,F,10,9.3,0
Sterling Shepard,WR,TB,NO,10,3.3,0.33,2 out of 5 stars,F,10,9.3,0
Kendre Miller,RB,NO,TB,10,0.2,0.02,2 out of 5 stars,F,10,9.3,0
James Conner,RB,ARI,GB,31,14.1,0.4548,3 out of 5 stars,A,10,9.3,0.2285714285714285
Greg Dortch,WR,ARI,GB,13,6.2,0.4769,4 out of 5 stars,D,10,9.3,-1.0333333333333334
Michael Wilson,WR,ARI,GB,16,8.5,0.5312,4 out of 5 stars,C,10,9.3,-0.13333333333333344
Emari Demercado,RB,ARI,GB,10,1.7,0.17,3 out of 5 stars,F,10,9.3,0
Marvin Harrison Jr,WR,ARI,GB,28,12.2,0.4357,4 out of 5 stars,A,10,9.3,0.16111111111111104
Trey Benson,RB,ARI,GB,10,2.4,0.24,3 out of 5 stars,F,10,9.3,0
Josh Jacobs,RB,GB,ARI,27,14.5,0.537,3 out of 5 stars,A,10,9.3,0.30588235294117644
Christian Watson,WR,GB,ARI,17,4.3,0.2529,2 out of 5 stars,F,10,9.3,-0.7142857142857144
Romeo Doubs,WR,GB,ARI,18,6.9,0.3833,2 out of 5 stars,C-,10,9.3,-0.30000000000000004
Bo Melton,WR,GB,ARI,10,4,0.4,2 out of 5 stars,F,10,9.3,0
