"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"27","Zay Flowers",BAL,"2 out of 5 stars","3 out of 5 stars","130.9","+20"
"17","Michael Pittman Jr.",IND,"3 out of 5 stars","3 out of 5 stars","130.0","+16"
"28","George Pickens",PIT,"3 out of 5 stars","3 out of 5 stars","129.8","+6"
"30","Jordan Addison",MIN,"3 out of 5 stars","3 out of 5 stars","128.7","+7"
"18","Justin Jefferson",MIN,"3 out of 5 stars","3 out of 5 stars","128.0","-17"
"31","Tee Higgins",CIN,"4 out of 5 stars","3 out of 5 stars","127.6","-17"
"21","Calvin Ridley",JAC,"3 out of 5 stars","3 out of 5 stars","124.0","-5"
"25","Christian Kirk",JAC,"3 out of 5 stars","3 out of 5 stars","119.0","+5"
"29","Deebo Samuel",SF,"2 out of 5 stars","4 out of 5 stars","118.0","-12"
"35","DeAndre Hopkins",TEN,"3 out of 5 stars","3 out of 5 stars","117.7","-14"
"36","Tyler Lockett",SEA,"3 out of 5 stars","4 out of 5 stars","117.7","-9"
"37","Christian Watson",GB,"3 out of 5 stars","3 out of 5 stars","115.5","-14"
"39","Diontae Johnson",PIT,"3 out of 5 stars","3 out of 5 stars","112.2","-8"
"32","Terry McLaurin",WAS,"2 out of 5 stars","3 out of 5 stars","110.0","-10"
"33","Drake London",ATL,"5 out of 5 stars","4 out of 5 stars","110.0","-7"
"34","Marquise Brown",ARI,"2 out of 5 stars","3 out of 5 stars","110.0","+2"
"41","Joshua Palmer",LAC,"4 out of 5 stars","4 out of 5 stars","110.0","+55"
"44","Tank Dell",HOU,"4 out of 5 stars","4 out of 5 stars","103.4","+34"
"38","Jakobi Meyers",LV,"3 out of 5 stars","4 out of 5 stars","103.0","+15"
"45","Jaxon Smith-Njigba",SEA,"3 out of 5 stars","4 out of 5 stars","102.3","-6"
"46","Romeo Doubs",GB,"3 out of 5 stars","3 out of 5 stars","101.2","+15"
"40","Gabe Davis",BUF,"3 out of 5 stars","3 out of 5 stars","101.0","+3"
"42","Courtland Sutton",DEN,"4 out of 5 stars","4 out of 5 stars","100.0","-2"
